avgAnnCount,avgDeathsPerYear,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate,deathRate
37,13,521.9,36836,4201,18.3,0,"(34218.1, 37413.8]",47.5,44.9,49.6,"Gregory County, South Dakota",2.12,57.3,11.6,33.5,44.6,10.3,38.6,13.6,59.7,2.1,66,45.5,30.2,43.2,20,88.57075248,0.118315192,1.13582584,0.14197823,47.15736041,10.70422535,169.4
107,37,412.7,48683,20455,11.7,0,"(48021.6, 51046.4]",43.1,42.4,44,"Taylor County, Wisconsin",2.32,58.7,18.5,41.1,35.6,4.8,46.3,9.3,62.2,5.5,69.4,52.8,44.4,35.7,17.8,97.79765667,0.486168506,0.116680441,0.486168506,53.72316126,6.550868486,131.8
22,12,472.9,60946,3294,7.4,0,"(54545.6, 61494.5]",43.6,43.4,44,"Bowman County, North Dakota",2.28,63.2,11.4,44.3,,6.7,30,16.7,67.1,1.8,86.2,65,48.6,24.5,5.7,95.56038497,0.124185036,0,2.390561937,55.84604212,9.935897436,209.3
20,10,527.2,29477,2302,29.5,0,"[22640, 34218.1]",49.2,46.8,52.2,"Quitman County, Georgia",2.29,40.2,11.8,53.9,,0,40.7,6.3,38.9,11.2,48.8,26.7,24.7,53.6,27.8,49.61306965,49.22613929,0.386930353,0,38.52216749,8.61618799,250
56,19,446.4,38478,11310,23.6,0,"(37413.8, 40362.7]",37.5,37.4,37.7,"Owyhee County, Idaho",2.85,51,26.8,47,,2.2,36.9,6.9,49.7,11.7,48.7,36.5,29.8,35.5,20.6,88.51636748,0.079197466,0.16719465,4.59345301,52.37974039,9.079391892,152.5
30,16,376.6,41469,5996,17.8,0,"(40362.7, 42724.4]",41.5,40.2,42.7,"Cotton County, Oklahoma",2.48,58.9,27.6,39.5,,4.2,40.7,12,53.9,9.2,58.2,43.6,32.4,36.2,21,79.97382199,1.963350785,0.687172775,1.767015707,55.70193495,5.31996916,192.4
187,80,521.2,40766,28487,20.6,0,"(40362.7, 42724.4]",43.1,41.6,44.6,"Marion County, Tennessee",2.43,53.9,17.6,41.8,,6.6,37.2,9.2,51.7,6.7,61.7,47.5,42.5,38.5,20.9,93.53847241,1.519112556,0.374478909,0.162509715,52.13882863,2.19816273,220.2
1403,577,400.2,51222,359715,16.8,102.859208,"(51046.4, 54545.6]",34.9,33.8,36.1,"Nueces County, Texas",2.72,46.1,16.4,33.6,,8,28.2,12.9,59.7,6.6,56.2,45.2,39.4,33.7,21.6,86.79003579,4.050161904,1.817871954,5.004828722,44.7998424,5.753453598,163.6
486,187,501.8,32150,91332,31.7,306.5738186,"[22640, 34218.1]",34.2,32.6,35.7,"Dougherty County, Georgia",2.52,33.6,23.8,26.1,,3.8,29.3,11.1,47,18,48.9,35.8,30.6,41.3,26.8,28.88114886,67.73872039,0.714821563,0.905583539,32.24368918,6.218730618,194.2
8895,2817,528,85886,1501587,7.7,181.8076475,"(61494.5, 125635]",40.6,39.1,42,"Suffolk County, New York",2.98,51.4,10.8,28.5,45.4,15.3,29.3,18.7,61,6.4,77.9,61.7,55.7,26.2,12,80.94863835,7.662319757,3.781605237,4.950535277,57.61862432,4.419518742,163.8
